county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Atascosa,Pct. 01,Ballots Cast,,,,613,8,480,125,0
Atascosa,Pct. 01,Ballots Cast Blank,,,,0,0,0,0,0
Atascosa,Pct. 01,President,,REP,Donald J. Trump,475,5,372,98,0
Atascosa,Pct. 01,President,,DEM,Kamala D. Harris,135,3,107,25,0
Atascosa,Pct. 01,President,,LIB,Chase Oliver,3,0,1,2,0
Atascosa,Pct. 01,President,,GRN,Jill Stein,0,0,0,0,0
Atascosa,Pct. 01,President,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 01,U.S. Senate,,REP,Ted Cruz,434,5,343,86,0
Atascosa,Pct. 01,U.S. Senate,,DEM,Colin Allred,154,3,123,28,0
Atascosa,Pct. 01,U.S. Senate,,LIB,Ted Brown,17,0,9,8,0
Atascosa,Pct. 01,U.S. Senate,,,Write-ins,1,0,1,0,0
Atascosa,Pct. 01,U.S. House,28,REP,Jay Furman,433,5,340,88,0
Atascosa,Pct. 01,U.S. House,28,DEM,Henry Cuellar,165,3,129,33,0
Atascosa,Pct. 01,Railroad Commissioner,,REP,Christi Craddick,437,5,340,92,0
Atascosa,Pct. 01,Railroad Commissioner,,DEM,Katherine Culbert,131,3,106,22,0
Atascosa,Pct. 01,Railroad Commissioner,,LIB,Hawk Dunlap,12,0,7,5,0
Atascosa,Pct. 01,Railroad Commissioner,,GRN,Eddie Espinoza,11,0,10,1,0
Atascosa,Pct. 01,Railroad Commissioner,,,Write-ins,1,0,1,0,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 2,REP,Jimmy Blacklock,457,5,358,94,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 2,DEM,DaSean Jones,128,3,102,23,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 4,REP,John Devine,449,5,351,93,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 4,DEM,Christine Vinh Weems,139,3,110,26,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 6,REP,Jane Bland,441,5,350,86,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 6,DEM,Bonnie Lee Goldstein,130,3,103,24,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 6,LIB,J. David Roberson,18,0,10,8,0
Atascosa,Pct. 01,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,452,5,358,89,0
Atascosa,Pct. 01,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,133,3,103,27,0
Atascosa,Pct. 01,"Judge, Ct of Crim App",PI 7,REP,Gina Parker,451,5,354,92,0
Atascosa,Pct. 01,"Judge, Ct of Crim App",PI 7,DEM,Nancy Mulder,134,3,106,25,0
Atascosa,Pct. 01,"Judge, Ct of Crim App",PI 8,REP,Lee Finley,454,5,358,91,0
Atascosa,Pct. 01,"Judge, Ct of Crim App",PI 8,DEM,Chika Anyiam,128,3,100,25,0
Atascosa,Pct. 01,"Member, State BoE",Dist 1,REP,Michael (Travis) Stevens,454,5,359,90,0
Atascosa,Pct. 01,"Member, State BoE",Dist 1,DEM,Gustavo Reveles,131,3,102,26,0
Atascosa,Pct. 01,State Representative,80,REP,Don McLaughlin Jr.,446,5,349,92,0
Atascosa,Pct. 01,State Representative,80,DEM,Cecilia Castellano,144,3,117,24,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 2,DEM,Velia J. Meza,286,3,226,57,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 3,REP,Todd McCray,438,5,345,88,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 3,DEM,Cynthia Marie Chapa,148,3,117,28,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 4,REP,Lori Massey Brissette,441,5,351,85,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 4,DEM,Luz Elena Chapa,143,3,111,29,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 5,REP,Adrian Spears,437,5,348,84,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 5,DEM,Liza A. Rodriguez,151,3,115,33,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 7,REP,Lori I. Valenzuela,510,5,401,104,0
Atascosa,Pct. 01,"Dist Attorney, 81st Judicial Dist",,REP,Audrey Gossett Louis,501,5,396,100,0
Atascosa,Pct. 01,County Attorney,,REP,Molly Groesbeck Solis,521,6,409,106,0
Atascosa,Pct. 01,Sheriff,,REP,Jake Guerra,497,6,388,103,0
Atascosa,Pct. 01,County Tax Assessor-Collector,,REP,Loretta Holley,525,6,415,104,0
Atascosa,Pct. 01,Constable,Pct 4,REP,"John ""Andy"" Rutherford",491,5,384,102,0
Atascosa,Pct. 03,Ballots Cast,,,,866,25,616,225,0
Atascosa,Pct. 03,Ballots Cast Blank,,,,0,0,0,0,0
Atascosa,Pct. 03,President,,REP,Donald J. Trump,609,7,444,158,0
Atascosa,Pct. 03,President,,DEM,Kamala D. Harris,249,18,170,61,0
Atascosa,Pct. 03,President,,LIB,Chase Oliver,2,0,0,2,0
Atascosa,Pct. 03,President,,GRN,Jill Stein,5,0,1,4,0
Atascosa,Pct. 03,President,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 03,U.S. Senate,,REP,Ted Cruz,540,6,406,128,0
Atascosa,Pct. 03,U.S. Senate,,DEM,Colin Allred,285,19,184,82,0
Atascosa,Pct. 03,U.S. Senate,,LIB,Ted Brown,28,0,16,12,0
Atascosa,Pct. 03,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 03,U.S. House,28,REP,Jay Furman,541,7,396,138,0
Atascosa,Pct. 03,U.S. House,28,DEM,Henry Cuellar,302,18,203,81,0
Atascosa,Pct. 03,Railroad Commissioner,,REP,Christi Craddick,555,7,416,132,0
Atascosa,Pct. 03,Railroad Commissioner,,DEM,Katherine Culbert,208,14,137,57,0
Atascosa,Pct. 03,Railroad Commissioner,,LIB,Hawk Dunlap,28,0,15,13,0
Atascosa,Pct. 03,Railroad Commissioner,,GRN,Eddie Espinoza,38,1,25,12,0
Atascosa,Pct. 03,Railroad Commissioner,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 03,"Justice, Supreme Court",PI 2,REP,Jimmy Blacklock,594,6,442,146,0
Atascosa,Pct. 03,"Justice, Supreme Court",PI 2,DEM,DaSean Jones,234,16,152,66,0
Atascosa,Pct. 03,"Justice, Supreme Court",PI 4,REP,John Devine,582,8,433,141,0
Atascosa,Pct. 03,"Justice, Supreme Court",PI 4,DEM,Christine Vinh Weems,242,13,161,68,0
Atascosa,Pct. 03,"Justice, Supreme Court",PI 6,REP,Jane Bland,559,6,420,133,0
Atascosa,Pct. 03,"Justice, Supreme Court",PI 6,DEM,Bonnie Lee Goldstein,239,17,154,68,0
Atascosa,Pct. 03,"Justice, Supreme Court",PI 6,LIB,J. David Roberson,26,1,15,10,0
Atascosa,Pct. 03,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,561,6,423,132,0
Atascosa,Pct. 03,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,263,18,166,79,0
Atascosa,Pct. 03,"Judge, Ct of Crim App",PI 7,REP,Gina Parker,573,7,429,137,0
Atascosa,Pct. 03,"Judge, Ct of Crim App",PI 7,DEM,Nancy Mulder,243,14,156,73,0
Atascosa,Pct. 03,"Judge, Ct of Crim App",PI 8,REP,Lee Finley,574,7,427,140,0
Atascosa,Pct. 03,"Judge, Ct of Crim App",PI 8,DEM,Chika Anyiam,241,15,156,70,0
Atascosa,Pct. 03,"Member, State BoE",Dist 1,REP,Michael (Travis) Stevens,570,6,417,147,0
Atascosa,Pct. 03,"Member, State BoE",Dist 1,DEM,Gustavo Reveles,242,17,161,64,0
Atascosa,Pct. 03,State Representative,80,REP,Don McLaughlin Jr.,572,7,422,143,0
Atascosa,Pct. 03,State Representative,80,DEM,Cecilia Castellano,254,17,165,72,0
Atascosa,Pct. 03,"Justice, 4th Ct of App Dist",PI 2,DEM,Velia J. Meza,286,3,226,57,0
Atascosa,Pct. 03,"Justice, 4th Ct of App Dist",PI 3,REP,Todd McCray,438,5,345,88,0
Atascosa,Pct. 03,"Justice, 4th Ct of App Dist",PI 3,DEM,Cynthia Marie Chapa,148,3,117,28,0
Atascosa,Pct. 03,"Justice, 4th Ct of App Dist",PI 4,REP,Lori Massey Brissette,441,5,351,85,0
Atascosa,Pct. 03,"Justice, 4th Ct of App Dist",PI 4,DEM,Luz Elena Chapa,143,3,111,29,0
Atascosa,Pct. 03,"Justice, 4th Ct of App Dist",PI 5,REP,Adrian Spears,437,5,348,84,0
Atascosa,Pct. 03,"Justice, 4th Ct of App Dist",PI 5,DEM,Liza A. Rodriguez,151,3,115,33,0
Atascosa,Pct. 03,"Justice, 4th Ct of App Dist",PI 7,REP,Lori I. Valenzuela,693,11,503,179,0
Atascosa,Pct. 03,"Dist Attorney, 81st Judicial Dist",,REP,Audrey Gossett Louis,692,11,499,182,0
Atascosa,Pct. 03,County Attorney,,REP,Molly Groesbeck Solis,709,11,508,190,0
Atascosa,Pct. 03,Sheriff,,REP,Jake Guerra,709,11,507,191,0
Atascosa,Pct. 03,County Tax Assessor-Collector,,REP,Loretta Holley,707,11,513,183,0
Atascosa,Pct. 03,Constable,Pct 4,REP,"John ""Andy"" Rutherford",680,11,492,177,0
Atascosa,Pct. 03,Mayor City of Jourdanton,,,"Robert ""Doc"" Williams",38,1,29,8,0
Atascosa,Pct. 03,Mayor City of Jourdanton,,,"""Patsy"" Patricia J. Elizabeth Tymrak-Daughtrey",17,0,7,10,0
Atascosa,Pct. 04,Ballots Cast,,,,623,10,443,168,2
Atascosa,Pct. 04,Ballots Cast Blank,,,,0,0,0,0,0
Atascosa,Pct. 04,President,,REP,Donald J. Trump,393,3,289,101,0
Atascosa,Pct. 04,President,,DEM,Kamala D. Harris,225,7,151,65,2
Atascosa,Pct. 04,President,,LIB,Chase Oliver,1,0,0,1,0
Atascosa,Pct. 04,President,,GRN,Jill Stein,3,0,2,1,0
Atascosa,Pct. 04,President,,,Write-ins,1,0,1,0,0
Atascosa,Pct. 04,U.S. Senate,,REP,Ted Cruz,335,3,251,81,0
Atascosa,Pct. 04,U.S. Senate,,DEM,Colin Allred,251,7,165,77,2
Atascosa,Pct. 04,U.S. Senate,,LIB,Ted Brown,20,0,14,6,0
Atascosa,Pct. 04,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 04,U.S. House,28,REP,Jay Furman,344,3,256,85,0
Atascosa,Pct. 04,U.S. House,28,DEM,Henry Cuellar,246,7,162,76,1
Atascosa,Pct. 04,Railroad Commissioner,,REP,Christi Craddick,347,3,259,85,0
Atascosa,Pct. 04,Railroad Commissioner,,DEM,Katherine Culbert,208,7,143,56,2
Atascosa,Pct. 04,Railroad Commissioner,,LIB,Hawk Dunlap,13,0,7,6,0
Atascosa,Pct. 04,Railroad Commissioner,,GRN,Eddie Espinoza,26,0,13,13,0
Atascosa,Pct. 04,Railroad Commissioner,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 04,"Justice, Supreme Court",PI 2,REP,Jimmy Blacklock,362,3,267,92,0
Atascosa,Pct. 04,"Justice, Supreme Court",PI 2,DEM,DaSean Jones,227,7,152,66,2
Atascosa,Pct. 04,"Justice, Supreme Court",PI 4,REP,John Devine,360,3,264,93,0
Atascosa,Pct. 04,"Justice, Supreme Court",PI 4,DEM,Christine Vinh Weems,230,6,154,68,2
Atascosa,Pct. 04,"Justice, Supreme Court",PI 6,REP,Jane Bland,343,3,251,89,0
Atascosa,Pct. 04,"Justice, Supreme Court",PI 6,DEM,Bonnie Lee Goldstein,225,7,152,64,2
Atascosa,Pct. 04,"Justice, Supreme Court",PI 6,LIB,J. David Roberson,22,0,13,9,0
Atascosa,Pct. 04,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,355,3,261,91,0
Atascosa,Pct. 04,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,232,7,152,71,2
Atascosa,Pct. 04,"Judge, Ct of Crim App",PI 7,REP,Gina Parker,365,3,268,94,0
Atascosa,Pct. 04,"Judge, Ct of Crim App",PI 7,DEM,Nancy Mulder,223,7,147,67,2
Atascosa,Pct. 04,"Judge, Ct of Crim App",PI 8,REP,Lee Finley,355,3,263,89,0
Atascosa,Pct. 04,"Judge, Ct of Crim App",PI 8,DEM,Chika Anyiam,232,7,150,73,2
Atascosa,Pct. 04,"Member, State BoE",Dist 1,REP,Michael (Travis) Stevens,344,2,252,90,0
Atascosa,Pct. 04,"Member, State BoE",Dist 1,DEM,Gustavo Reveles,238,8,156,72,2
Atascosa,Pct. 04,State Representative,80,REP,Don McLaughlin Jr.,343,3,252,88,0
Atascosa,Pct. 04,State Representative,80,DEM,Cecilia Castellano,243,7,159,75,2
Atascosa,Pct. 04,"Justice, 4th Ct of App Dist",PI 2,DEM,Velia J. Meza,368,9,249,108,2
Atascosa,Pct. 04,"Justice, 4th Ct of App Dist",PI 3,REP,Todd McCray,354,3,264,87,0
Atascosa,Pct. 04,"Justice, 4th Ct of App Dist",PI 3,DEM,Cynthia Marie Chapa,233,7,149,75,2
Atascosa,Pct. 04,"Justice, 4th Ct of App Dist",PI 4,REP,Lori Massey Brissette,358,3,268,87,0
Atascosa,Pct. 04,"Justice, 4th Ct of App Dist",PI 4,DEM,Luz Elena Chapa,227,7,144,74,2
Atascosa,Pct. 04,"Justice, 4th Ct of App Dist",PI 5,REP,Adrian Spears,351,2,259,90,0
Atascosa,Pct. 04,"Justice, 4th Ct of App Dist",PI 5,DEM,Liza A. Rodriguez,238,8,158,70,2
Atascosa,Pct. 04,"Justice, 4th Ct of App Dist",PI 7,REP,Lori I. Valenzuela,463,5,330,127,1
Atascosa,Pct. 04,"Dist Attorney, 81st Judicial Dist",,REP,Audrey Gossett Louis,453,5,327,120,1
Atascosa,Pct. 04,County Attorney,,REP,Molly Groesbeck Solis,465,6,331,127,1
Atascosa,Pct. 04,Sheriff,,REP,Jake Guerra,460,4,329,126,1
Atascosa,Pct. 04,County Tax Assessor-Collector,,REP,Loretta Holley,468,7,334,126,1
Atascosa,Pct. 04,Constable,Pct 2,REP,Johnny Salazar,454,5,323,125,1
Atascosa,Pct. 04,Board Member Somerset ISD,,,Robert Sanchez,55,1,37,17,0
Atascosa,Pct. 04,Board Member Somerset ISD,,,Justin Hagedorn,27,0,23,3,1
Atascosa,Pct. 05,Ballots Cast,,,,821,19,559,240,3
Atascosa,Pct. 05,Ballots Cast Blank,,,,0,0,0,0,0
Atascosa,Pct. 05,President,,REP,Donald J. Trump,490,10,345,134,1
Atascosa,Pct. 05,President,,DEM,Kamala D. Harris,322,9,211,100,2
Atascosa,Pct. 05,President,,LIB,Chase Oliver,3,0,1,2,0
Atascosa,Pct. 05,President,,GRN,Jill Stein,1,0,1,0,0
Atascosa,Pct. 05,President,,,Write-ins,4,0,1,3,0
Atascosa,Pct. 05,U.S. Senate,,REP,Ted Cruz,431,9,316,105,1
Atascosa,Pct. 05,U.S. Senate,,DEM,Colin Allred,346,9,219,116,2
Atascosa,Pct. 05,U.S. Senate,,LIB,Ted Brown,23,0,16,7,0
Atascosa,Pct. 05,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 05,U.S. House,28,REP,Jay Furman,439,8,317,113,1
Atascosa,Pct. 05,U.S. House,28,DEM,Henry Cuellar,343,9,221,111,2
Atascosa,Pct. 05,Railroad Commissioner,,REP,Christi Craddick,448,11,324,112,1
Atascosa,Pct. 05,Railroad Commissioner,,DEM,Katherine Culbert,286,6,191,87,2
Atascosa,Pct. 05,Railroad Commissioner,,LIB,Hawk Dunlap,22,0,13,9,0
Atascosa,Pct. 05,Railroad Commissioner,,GRN,Eddie Espinoza,23,1,11,11,0
Atascosa,Pct. 05,Railroad Commissioner,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 05,"Justice, Supreme Court",PI 2,REP,Jimmy Blacklock,468,11,335,121,1
Atascosa,Pct. 05,"Justice, Supreme Court",PI 2,DEM,DaSean Jones,298,6,194,96,2
Atascosa,Pct. 05,"Justice, Supreme Court",PI 4,REP,John Devine,456,10,327,118,1
Atascosa,Pct. 05,"Justice, Supreme Court",PI 4,DEM,Christine Vinh Weems,314,8,203,101,2
Atascosa,Pct. 05,"Justice, Supreme Court",PI 6,REP,Jane Bland,444,9,320,114,1
Atascosa,Pct. 05,"Justice, Supreme Court",PI 6,DEM,Bonnie Lee Goldstein,307,8,202,95,2
Atascosa,Pct. 05,"Justice, Supreme Court",PI 6,LIB,J. David Roberson,25,1,15,9,0
Atascosa,Pct. 05,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,462,9,333,119,1
Atascosa,Pct. 05,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,306,9,204,91,2
Atascosa,Pct. 05,"Judge, Ct of Crim App",PI 7,REP,Gina Parker,462,9,333,119,1
Atascosa,Pct. 05,"Judge, Ct of Crim App",PI 7,DEM,Nancy Mulder,304,8,201,94,1
Atascosa,Pct. 05,"Judge, Ct of Crim App",PI 8,REP,Lee Finley,463,9,335,118,1
Atascosa,Pct. 05,"Judge, Ct of Crim App",PI 8,DEM,Chika Anyiam,298,8,195,93,2
Atascosa,Pct. 05,"Member, State BoE",Dist 1,REP,Michael (Travis) Stevens,448,9,323,115,1
Atascosa,Pct. 05,"Member, State BoE",Dist 1,DEM,Gustavo Reveles,322,9,210,101,2
Atascosa,Pct. 05,State Representative,80,REP,Don McLaughlin Jr.,463,9,339,114,1
Atascosa,Pct. 05,State Representative,80,DEM,Cecilia Castellano,312,8,196,106,2
Atascosa,Pct. 05,"Justice, 4th Ct of App Dist",PI 2,DEM,Velia J. Meza,482,11,308,162,1
Atascosa,Pct. 05,"Justice, 4th Ct of App Dist",PI 3,REP,Todd McCray,447,8,325,113,1
Atascosa,Pct. 05,"Justice, 4th Ct of App Dist",PI 3,DEM,Cynthia Marie Chapa,322,10,208,102,2
Atascosa,Pct. 05,"Justice, 4th Ct of App Dist",PI 4,REP,Lori Massey Brissette,437,8,322,106,1
Atascosa,Pct. 05,"Justice, 4th Ct of App Dist",PI 4,DEM,Luz Elena Chapa,332,10,210,110,2
Atascosa,Pct. 05,"Justice, 4th Ct of App Dist",PI 5,REP,Adrian Spears,442,9,321,111,1
Atascosa,Pct. 05,"Justice, 4th Ct of App Dist",PI 5,DEM,Liza A. Rodriguez,325,9,209,105,2
Atascosa,Pct. 05,"Justice, 4th Ct of App Dist",PI 7,REP,Lori I. Valenzuela,581,13,399,168,1
Atascosa,Pct. 05,"Dist Attorney, 81st Judicial Dist",,REP,Audrey Gossett Louis,566,12,388,165,1
Atascosa,Pct. 05,County Attorney,,REP,Molly Groesbeck Solis,585,12,404,167,2
Atascosa,Pct. 05,Sheriff,,REP,Jake Guerra,596,12,409,173,2
Atascosa,Pct. 05,County Tax Assessor-Collector,,REP,Loretta Holley,597,12,407,176,2
Atascosa,Pct. 05,County Commissioner,Pct 1,REP,Mark Gillespie,594,12,408,172,2
Atascosa,Pct. 05,Constable,Pct 1,REP,Mark Medina,583,12,396,173,2
Atascosa,Pct. 06,Ballots Cast,,,,329,5,259,65,0
Atascosa,Pct. 06,Ballots Cast Blank,,,,0,0,0,0,0
Atascosa,Pct. 06,President,,REP,Donald J. Trump,226,3,177,46,0
Atascosa,Pct. 06,President,,DEM,Kamala D. Harris,102,2,81,19,0
Atascosa,Pct. 06,President,,LIB,Chase Oliver,0,0,0,0,0
Atascosa,Pct. 06,President,,GRN,Jill Stein,1,0,1,0,0
Atascosa,Pct. 06,President,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 06,U.S. Senate,,REP,Ted Cruz,205,3,165,37,0
Atascosa,Pct. 06,U.S. Senate,,DEM,Colin Allred,107,2,85,20,0
Atascosa,Pct. 06,U.S. Senate,,LIB,Ted Brown,10,0,4,6,0
Atascosa,Pct. 06,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 06,U.S. House,28,REP,Jay Furman,202,2,165,35,0
Atascosa,Pct. 06,U.S. House,28,DEM,Henry Cuellar,114,3,86,25,0
Atascosa,Pct. 06,Railroad Commissioner,,REP,Christi Craddick,200,3,160,37,0
Atascosa,Pct. 06,Railroad Commissioner,,DEM,Katherine Culbert,89,1,71,17,0
Atascosa,Pct. 06,Railroad Commissioner,,LIB,Hawk Dunlap,13,0,9,4,0
Atascosa,Pct. 06,Railroad Commissioner,,GRN,Eddie Espinoza,6,0,4,2,0
Atascosa,Pct. 06,Railroad Commissioner,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 06,"Justice, Supreme Court",PI 2,REP,Jimmy Blacklock,224,3,178,43,0
Atascosa,Pct. 06,"Justice, Supreme Court",PI 2,DEM,DaSean Jones,89,1,71,17,0
Atascosa,Pct. 06,"Justice, Supreme Court",PI 4,REP,John Devine,216,2,171,43,0
Atascosa,Pct. 06,"Justice, Supreme Court",PI 4,DEM,Christine Vinh Weems,94,1,76,17,0
Atascosa,Pct. 06,"Justice, Supreme Court",PI 6,REP,Jane Bland,203,2,162,39,0
Atascosa,Pct. 06,"Justice, Supreme Court",PI 6,DEM,Bonnie Lee Goldstein,94,1,75,18,0
Atascosa,Pct. 06,"Justice, Supreme Court",PI 6,LIB,J. David Roberson,10,0,7,3,0
Atascosa,Pct. 06,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,215,2,171,42,0
Atascosa,Pct. 06,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,95,1,76,18,0
Atascosa,Pct. 06,"Judge, Ct of Crim App",PI 7,REP,Gina Parker,215,2,170,43,0
Atascosa,Pct. 06,"Judge, Ct of Crim App",PI 7,DEM,Nancy Mulder,93,1,75,17,0
Atascosa,Pct. 06,"Judge, Ct of Crim App",PI 8,REP,Lee Finley,215,2,174,39,0
Atascosa,Pct. 06,"Judge, Ct of Crim App",PI 8,DEM,Chika Anyiam,92,1,71,20,0
Atascosa,Pct. 06,"Member, State BoE",Dist 1,REP,Michael (Travis) Stevens,215,2,171,42,0
Atascosa,Pct. 06,"Member, State BoE",Dist 1,DEM,Gustavo Reveles,95,1,75,19,0
Atascosa,Pct. 06,State Representative,80,REP,Don McLaughlin Jr.,208,2,168,38,0
Atascosa,Pct. 06,State Representative,80,DEM,Cecilia Castellano,106,2,82,22,0
Atascosa,Pct. 06,"Justice, 4th Ct of App Dist",PI 2,DEM,Velia J. Meza,171,2,135,34,0
Atascosa,Pct. 06,"Justice, 4th Ct of App Dist",PI 3,REP,Todd McCray,212,3,168,41,0
Atascosa,Pct. 06,"Justice, 4th Ct of App Dist",PI 3,DEM,Cynthia Marie Chapa,100,1,81,18,0
Atascosa,Pct. 06,"Justice, 4th Ct of App Dist",PI 4,REP,Lori Massey Brissette,205,2,164,39,0
Atascosa,Pct. 06,"Justice, 4th Ct of App Dist",PI 4,DEM,Luz Elena Chapa,101,1,80,20,0
Atascosa,Pct. 06,"Justice, 4th Ct of App Dist",PI 5,REP,Adrian Spears,203,2,160,41,0
Atascosa,Pct. 06,"Justice, 4th Ct of App Dist",PI 5,DEM,Liza A. Rodriguez,104,1,84,19,0
Atascosa,Pct. 06,"Justice, 4th Ct of App Dist",PI 7,REP,Lori I. Valenzuela,259,4,204,51,0
Atascosa,Pct. 06,"Dist Attorney, 81st Judicial Dist",,REP,Audrey Gossett Louis,259,4,206,49,0
Atascosa,Pct. 06,County Attorney,,REP,Molly Groesbeck Solis,258,4,203,51,0
Atascosa,Pct. 06,Sheriff,,REP,Jake Guerra,261,3,207,51,0
Atascosa,Pct. 06,County Tax Assessor-Collector,,REP,Loretta Holley,259,3,206,50,0
Atascosa,Pct. 06,County Commissioner,Pct 3,REP,"George ""Butch"" Pawelek",206,2,165,39,0
Atascosa,Pct. 06,County Commissioner,Pct 3,DEM,Eliseo Perez,107,2,83,22,0
Atascosa,Pct. 06,Constable,Pct 3,REP,Cregg M. Thompson,252,3,201,48,0
Atascosa,Pct. 07,Ballots Cast,,,,1074,30,712,330,2
Atascosa,Pct. 07,Ballots Cast Blank,,,,0,0,0,0,0
Atascosa,Pct. 07,President,,REP,Donald J. Trump,754,20,508,225,1
Atascosa,Pct. 07,President,,DEM,Kamala D. Harris,307,9,196,101,1
Atascosa,Pct. 07,President,,LIB,Chase Oliver,7,1,2,4,0
Atascosa,Pct. 07,President,,GRN,Jill Stein,2,0,2,0,0
Atascosa,Pct. 07,President,,,Write-ins,0,0,0,0,0
